Student ID,Accounts Registration No,Date,Student Name,Father Name,Amount,,,,,,
1100600028,2018-GCUF-059999,14/02/2022,0,0,5000,,,,,,
1100600019,2018-GCUF-073668,14/02/2022,0,0,5000,,,,,,
1100600015,2018-GCUF-059927,14/02/2022,0,0,5000,,,,,,
1120600063,2018-GCUF-059851,14/02/2022,0,0,17400,,,,,,
1120600063,2018-GCUF-059851,14/02/2022,0,0,5000,,,,,,
1040800084,2017-GCUF-064358,14/02/2022,0,0,5000,,,,,,
1070600011,2018-GCUF-059495,14/02/2022,0,0,5000,,,,,,
1010600024,2018-GCUF-074012,14/02/2022,0,0,5000,,,,,,
1080600013,2018-GCUF-074067,14/02/2022,0,0,5000,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
